website_id,detection_date,country,region,industry,organization_size,target_type,url_length,url_depth,num_dots,num_hyphens,num_underscores,num_slashes,num_digits_in_url,num_special_characters,num_subdomains,has_ip_address,has_url_shortener,has_at_symbol,has_double_slash,has_hexadecimal_encoding,url_entropy_score,domain_age_days,domain_registration_length,days_to_domain_expiry,domain_name_length,registrar_reputation_score,domain_reputation_score,domain_name_suspicion_score,has_whois_record,domain_previously_reported,has_https,ssl_certificate_valid,ssl_certificate_age_days,ssl_expiry_days,certificate_trust_score,has_security_headers,security_header_score,has_dns_record,dns_reputation_score,uses_valid_dns,has_hsts,has_content_security_policy,has_login_form,has_password_field,has_payment_form,has_popup,has_iframe,num_external_links,num_internal_links,num_redirects,redirect_risk_score,has_downloadable_file,has_auto_download,has_obfuscated_script,javascript_risk_score,has_suspicious_javascript,has_spelling_errors,content_similarity_to_brand,fake_brand_impersonation,suspicious_word_count,has_suspicious_words,urgency_language_score,threat_language_score,reward_language_score,social_engineering_score,login_request_score,payment_request_score,attack_type,attack_channel,target_population,attack_severity,risk_score,risk_level,detection_status,reported_by,number_of_reports,previous_attack_history,phishing_probability,result
WEB-000011,2025-06-05,India,Asia,Government,Medium,Individual,58,4,4,0,2,1,0,5,1,0,0,0,0,0,4.12,2202,1392,250,24,4.95,100.0,1.8,1,0,1,1,590.0,256,8.38,0.0,7.35,1,76.0,1,1,1,0,0,0,0,1,29.0,23,0,1.94,0,0,0,1.5,0,1,5.0,0,1,0,2.35,1.64,1.67,1.38,1.17,0.0,Not Applicable,Not Applicable,Not Applicable,None,12,Low,Resolved,User Report,0,0,0.01,Legitimate
WEB-000012,2024-06-30,Japan,Asia,Retail,Large,Business,73,4,3,0,1,2,6,7,0,0,0,0,0,0,2.22,2744,1263,929,18,7.58,65.0,2.94,1,0,1,1,465.0,548,8.96,1.0,5.05,1,96.0,0,1,0,0,0,0,0,0,26.0,9,1,3.13,0,0,0,2.1,0,0,0.0,0,0,0,2.22,1.79,4.04,1.01,0.0,1.92,Not Applicable,Not Applicable,Not Applicable,None,25,Low,False Positive,Automated System,4,1,0.29,Legitimate
WEB-000013,2025-11-08,China,Asia,Retail,Enterprise,Individual,86,2,1,0,0,3,0,1,3,0,0,0,0,0,6.85,2606,946,159,5,6.96,75.0,3.53,1,0,1,1,583.0,135,9.3,1.0,6.39,1,69.0,0,1,0,1,0,0,0,0,8.0,29,3,1.32,0,0,0,2.7,1,0,5.0,0,3,1,0.97,3.01,3.66,2.83,0.0,0.79,Not Applicable,Not Applicable,Not Applicable,None,0,Low,Under Investigation,User Report,4,0,0.074,Legitimate
WEB-000014,2024-03-30,Germany,Europe,Government,Enterprise,Customer,44,2,4,0,0,3,8,3,0,0,0,0,0,0,1.49,3336,1276,146,8,9.16,77.0,3.19,1,0,1,1,594.0,214,9.28,1.0,6.73,1,99.0,1,1,0,0,0,1,0,0,24.0,17,2,0.0,0,0,0,2.82,0,0,15.0,0,0,0,2.43,2.33,2.23,0.73,3.54,1.37,Not Applicable,Not Applicable,Not Applicable,None,11,Low,Under Investigation,Security Team,0,0,0.108,Legitimate
WEB-000015,2025-04-04,Netherlands,Europe,Retail,Enterprise,Individual,34,2,1,0,0,1,6,4,0,0,0,0,0,0,3.14,2504,1406,589,7,4.93,93.0,3.01,1,0,1,1,478.0,4,7.69,1.0,4.42,1,100.0,1,0,0,0,1,0,0,0,8.0,10,0,2.23,1,0,0,3.14,0,0,4.0,0,0,0,2.01,1.51,0.0,2.33,0.98,1.05,Not Applicable,Not Applicable,Not Applicable,None,40,Medium,Under Investigation,Security Team,0,0,0.01,Legitimate
WEB-000016,2024-06-18,United Arab Emirates,Middle East,Manufacturing,Large,Individual,8,5,3,0,1,5,0,1,3,0,0,0,0,0,4.02,2992,833,604,18,6.58,,1.09,0,0,1,1,240.0,146,9.08,1.0,8.61,1,71.0,1,1,1,0,0,0,0,0,13.0,26,0,1.04,1,0,0,3.7,0,0,29.0,0,0,0,1.35,1.76,3.6,1.85,3.84,0.81,Not Applicable,Not Applicable,Not Applicable,None,8,Low,Under Investigation,Security Team,2,0,0.029,Legitimate
WEB-000017,2025-01-24,Germany,Europe,Technology,Small,Customer,17,1,3,0,2,7,2,2,1,0,0,1,0,0,0.41,2932,1919,365,16,6.08,90.0,3.91,1,0,1,1,393.0,358,7.31,1.0,8.95,1,71.0,0,1,0,0,0,1,0,0,12.0,14,4,0.42,1,0,0,2.46,0,0,34.0,0,2,1,0.0,2.8,3.46,0.67,2.47,3.54,Not Applicable,Not Applicable,Not Applicable,None,23,Low,False Positive,Security Team,0,0,0.131,Legitimate
WEB-000018,2024-07-27,Nigeria,Africa,E-commerce,Enterprise,Customer,100,3,4,2,0,6,7,5,4,1,0,0,1,0,5.19,0,499,1,22,1.89,17.0,6.78,0,0,0,0,0.0,172,0.0,0.0,4.13,1,30.0,0,0,0,1,0,1,0,1,0.0,0,2,4.9,0,0,1,5.72,0,0,88.0,1,6,1,9.68,4.94,4.88,6.9,7.16,5.58,Clone Phishing,SMS,Students,Medium,60,High,Confirmed,User Report,8,0,0.741,Phishing
WEB-000019,2025-06-07,United States,North America,Technology,Enterprise,Business,57,7,3,3,0,5,13,7,1,0,0,1,1,0,5.39,841,137,208,29,0.01,,7.56,0,0,0,0,0.0,0,2.31,0.0,1.26,1,27.0,1,0,0,1,0,0,1,0,0.0,10,1,5.68,0,1,1,7.69,1,1,69.0,1,13,1,7.0,4.02,5.54,6.55,5.96,6.68,Whaling,Phone Call,Vendors,Low,74,High,Confirmed,Automated System,3,0,0.669,Phishing
WEB-000020,2026-03-17,Germany,Europe,Education,Large,Government,46,0,2,1,1,6,2,1,2,0,0,0,0,0,3.14,2600,1375,368,20,6.78,76.0,2.09,1,0,1,0,427.0,384,10.0,1.0,6.97,1,100.0,1,1,1,0,0,0,0,0,8.0,37,1,3.09,0,0,0,0.0,0,0,10.0,0,3,1,0.35,2.49,1.7,3.37,1.27,1.08,Not Applicable,Not Applicable,Not Applicable,None,0,Low,False Positive,Automated System,3,0,0.266,Legitimate
WEB-000021,2024-06-27,Netherlands,Europe,Technology,Medium,Individual,47,1,0,0,0,5,3,2,2,0,0,0,0,0,4.67,2700,992,471,13,6.31,80.0,0.49,1,0,0,1,499.0,225,7.75,1.0,8.45,1,65.0,1,0,0,0,0,0,0,0,24.0,30,2,1.29,0,0,0,4.26,0,0,9.0,0,1,0,3.23,2.79,3.01,3.29,3.29,3.77,Not Applicable,Not Applicable,Not Applicable,None,11,Low,False Positive,User Report,0,0,0.121,Legitimate
WEB-000022,2025-11-07,China,Asia,Education,Large,Business,49,2,0,0,0,0,2,0,2,0,0,0,0,0,4.29,2278,1585,166,5,8.56,71.0,4.49,1,0,1,1,566.0,258,9.24,1.0,9.28,1,94.0,1,0,1,0,1,0,0,0,9.0,25,1,0.72,1,0,0,2.44,0,0,,0,1,1,2.31,1.55,3.8,3.62,4.41,2.02,Not Applicable,Not Applicable,Not Applicable,None,0,Low,False Positive,Automated System,0,0,0.392,Legitimate
WEB-000023,2025-03-19,Italy,Europe,Government,Large,Individual,73,3,3,0,0,2,0,0,1,0,0,0,0,0,3.62,1855,1579,487,15,8.65,88.0,3.65,1,0,1,1,304.0,582,9.07,1.0,7.67,1,83.0,1,1,1,0,1,0,0,0,2.0,21,0,1.38,0,0,0,1.65,0,0,17.0,0,2,0,0.52,0.39,0.0,0.46,1.78,4.5,Not Applicable,Not Applicable,Not Applicable,None,31,Medium,False Positive,Automated System,0,1,0.019,Legitimate
WEB-000024,2025-10-04,Italy,Europe,Energy,Medium,Employee,81,4,3,4,0,0,7,4,3,0,0,1,0,0,7.07,414,393,132,14,1.3,0.0,6.0,0,0,1,0,195.0,51,3.48,0.0,1.14,1,34.0,0,0,0,1,0,0,0,1,2.0,5,3,6.34,0,0,1,6.05,0,0,89.0,1,13,1,9.19,7.84,5.7,7.38,7.48,5.33,Business Email Compromise,Website,Students,Medium,87,Critical,Under Investigation,Automated System,4,0,0.859,Phishing
WEB-000025,2024-05-19,Russia,Europe,E-commerce,Small,Employee,69,2,1,2,0,3,11,2,3,0,0,0,0,0,2.35,2294,1468,119,11,8.55,64.0,0.47,1,0,1,1,321.0,250,8.23,0.0,8.26,1,100.0,1,1,1,1,1,0,0,0,12.0,33,5,1.14,0,0,0,4.01,0,0,9.0,0,4,1,0.84,2.13,1.98,0.0,4.33,0.81,Not Applicable,Not Applicable,Not Applicable,None,30,Medium,Under Investigation,Security Team,0,0,0.14,Legitimate
WEB-000026,2026-05-01,Italy,Europe,Insurance,Small,Employee,33,4,4,0,0,2,0,0,0,0,0,0,0,0,3.27,2920,1340,26,9,7.38,95.0,4.02,1,0,1,1,561.0,476,8.2,0.0,6.98,1,100.0,1,1,1,0,1,0,0,0,5.0,17,0,0.0,0,0,0,1.55,0,0,29.0,0,1,0,0.29,0.0,0.94,0.11,2.0,6.02,Not Applicable,Not Applicable,Not Applicable,None,30,Medium,False Positive,,2,0,0.01,Legitimate
WEB-000027,2024-08-23,Australia,Oceania,Logistics,Small,Individual,66,2,0,0,1,4,2,4,0,0,0,0,0,0,3.23,2247,1746,971,21,6.68,27.0,0.9,1,0,1,1,476.0,322,9.44,1.0,7.89,1,95.0,1,1,0,0,1,0,0,0,0.0,20,1,0.0,0,0,0,4.48,0,0,19.0,0,0,0,0.0,1.95,0.47,2.8,0.66,0.0,Not Applicable,Not Applicable,Not Applicable,None,11,Low,False Positive,Automated System,0,0,0.316,Legitimate
WEB-000028,2025-05-13,China,Asia,Manufacturing,Small,Employee,115,2,3,6,0,4,8,1,4,0,0,0,0,0,7.12,0,140,1,25,1.09,0.0,7.95,0,0,1,1,111.0,0,2.23,0.0,1.61,0,13.0,1,0,0,1,1,1,0,1,3.0,0,1,5.27,1,0,0,5.3,1,0,87.0,1,8,1,8.26,5.82,5.9,6.83,6.08,6.28,Spear Phishing,Email,Executives,Critical,79,High,Under Investigation,Security Team,10,1,0.911,Phishing
WEB-000029,2024-09-09,India,Asia,Technology,Large,Employee,74,2,0,4,0,2,7,7,2,0,0,0,0,0,3.39,2967,1573,824,8,5.96,90.0,2.79,1,0,1,1,512.0,174,6.47,1.0,6.16,1,76.0,1,0,1,0,0,0,0,0,2.0,21,0,2.3,1,0,0,1.58,0,0,4.0,0,0,0,2.23,0.56,2.11,4.25,2.78,2.54,Not Applicable,Not Applicable,Not Applicable,None,0,Low,False Positive,Security Team,2,0,0.02,Legitimate
WEB-000030,2026-06-25,Netherlands,Europe,Social Media,Large,Customer,126,6,5,1,1,3,9,6,2,1,1,0,1,1,5.22,744,30,1,32,3.31,11.0,6.56,0,0,0,0,105.0,91,1.36,1.0,1.29,0,36.0,0,0,0,0,1,1,1,1,9.0,8,3,10.0,0,0,0,6.37,1,1,100.0,1,7,1,7.66,3.82,5.99,7.91,8.51,6.86,Credential Harvesting,QR Code,Vendors,High,88,Critical,Confirmed,Security Team,1,1,0.877,Phishing
WEB-000031,2024-08-15,France,Europe,Banking,Medium,Individual,88,2,4,4,2,7,15,5,3,0,0,0,0,0,6.83,739,325,72,25,1.18,30.0,5.16,0,1,0,0,0.0,15,1.59,0.0,0.41,0,44.0,1,0,0,1,1,0,0,0,0.0,0,2,3.63,0,0,0,4.51,1,1,52.0,1,5,0,6.21,4.17,6.74,7.59,8.55,4.5,Clone Phishing,QR Code,Students,Low,88,Critical,Confirmed,User Report,2,1,0.99,Phishing
WEB-000032,2026-01-02,United Kingdom,Europe,Manufacturing,Small,Business,105,2,5,7,0,5,5,5,2,0,1,0,0,0,6.0,608,356,1,25,1.94,6.0,6.71,0,0,1,1,0.0,0,0.1,0.0,3.29,1,20.0,1,0,0,1,1,1,1,1,14.0,0,7,5.28,0,0,1,5.77,0,0,88.0,1,6,1,6.68,8.73,7.18,5.65,6.36,7.2,Clone Phishing,Malicious Ad,Employees,High,90,Critical,Resolved,Automated System,5,1,0.873,Phishing
WEB-000033,2024-03-19,Kenya,Africa,Social Media,Enterprise,Customer,33,2,1,0,2,8,0,3,1,0,0,0,0,0,4.95,2291,1344,556,22,7.45,72.0,0.66,1,0,1,1,321.0,285,8.5,0.0,4.85,1,76.0,1,0,1,0,0,0,1,0,7.0,31,1,0.0,0,0,0,1.01,0,0,27.0,0,0,0,1.38,0.0,2.24,0.85,1.54,3.43,Not Applicable,Not Applicable,Not Applicable,None,7,Low,Resolved,Automated System,0,0,0.01,Legitimate
WEB-000034,2025-04-14,India,Asia,Manufacturing,Large,Individual,29,0,1,1,1,5,1,0,1,0,1,0,0,0,5.61,2520,917,407,14,5.58,79.0,2.82,1,0,1,1,533.0,90,7.58,1.0,7.8,1,69.0,1,1,1,1,0,1,0,0,16.0,21,1,2.99,0,0,0,2.52,0,0,12.0,0,2,0,1.11,1.76,0.49,0.0,2.54,0.02,Not Applicable,Not Applicable,Not Applicable,None,18,Low,False Positive,Third-party Vendor,2,0,0.203,Legitimate
WEB-000035,2023-12-06,Australia,Oceania,Manufacturing,Small,Individual,98,4,5,4,0,4,9,0,2,1,0,0,1,0,5.21,196,30,1,25,0.81,23.0,7.63,0,0,1,0,0.0,167,0.37,0.0,0.23,1,27.0,1,0,1,0,0,1,1,0,0.0,1,1,9.06,0,0,1,3.85,0,1,69.0,1,12,1,8.01,7.44,5.69,7.72,5.24,5.36,Business Email Compromise,QR Code,Customers,Medium,71,High,Under Investigation,Automated System,7,1,0.695,Phishing
WEB-000036,2024-09-08,Canada,North America,Logistics,Small,Individual,69,3,3,6,2,7,5,8,3,1,0,1,1,1,6.84,338,83,397,14,3.84,37.0,6.7,1,1,1,0,304.0,88,1.5,0.0,2.97,0,25.0,1,0,0,1,0,0,1,0,7.0,0,3,6.2,0,0,0,6.67,1,1,69.0,0,7,1,6.54,6.66,8.02,6.59,8.1,3.74,Voice Phishing,Website,Vendors,Medium,90,Critical,Confirmed,Law Enforcement,4,0,0.853,Phishing
WEB-000037,2023-10-27,United States,North America,Technology,Small,Employee,94,1,3,1,0,1,8,4,0,0,0,0,0,0,4.53,2487,1785,346,24,7.28,87.0,3.4,1,0,1,0,579.0,277,5.7,1.0,7.82,1,85.0,1,1,0,0,1,0,0,0,5.0,9,4,0.0,0,0,0,1.52,0,0,4.0,0,3,0,2.28,1.76,0.0,0.0,0.0,0.55,Not Applicable,Not Applicable,Not Applicable,None,9,Low,Under Investigation,User Report,0,0,0.01,Legitimate
WEB-000038,2024-05-18,United Kingdom,Europe,Banking,Medium,Individual,90,4,5,3,1,0,10,7,3,0,0,0,1,0,5.13,0,30,139,23,3.05,23.0,5.8,1,0,0,0,0.0,287,2.48,1.0,2.91,1,23.0,0,0,0,1,1,0,0,0,0.0,0,2,10.0,0,1,0,8.79,0,1,69.0,0,13,1,10.0,5.75,3.45,8.79,8.29,7.22,SMS Phishing,Social Media,Employees,Medium,87,Critical,Under Investigation,User Report,7,0,0.773,Phishing
WEB-000039,2024-01-05,United Kingdom,Europe,Banking,Small,Individual,10,0,4,2,0,4,0,0,1,0,0,0,0,0,2.65,2072,1306,438,18,7.3,68.0,3.81,1,0,1,1,665.0,387,6.57,0.0,4.94,1,81.0,1,0,0,0,0,0,0,0,13.0,24,0,4.3,0,0,0,1.65,0,0,15.0,0,1,0,3.67,2.57,4.19,3.02,3.19,1.67,Not Applicable,Not Applicable,Not Applicable,None,17,Low,Resolved,Third-party Vendor,0,0,0.154,Legitimate
WEB-000040,2023-12-15,United States,North America,E-commerce,Enterprise,Employee,19,0,1,0,0,2,0,0,2,0,0,0,0,0,3.09,2255,1152,148,11,8.59,81.0,4.29,1,0,1,1,685.0,182,9.87,1.0,7.59,1,90.0,1,1,1,1,1,0,0,0,8.0,16,3,2.1,0,0,0,1.46,1,0,31.0,0,0,1,2.18,1.25,0.09,0.0,1.72,0.0,Not Applicable,Not Applicable,Not Applicable,None,19,Low,False Positive,User Report,0,0,0.152,Legitimate
WEB-000041,2025-12-06,France,Europe,Healthcare,Large,Employee,84,4,4,5,0,3,9,3,4,0,0,1,0,0,6.11,0,174,76,33,2.17,8.0,10.0,0,1,0,0,41.0,0,0.44,0.0,1.49,0,56.0,0,0,0,0,1,0,1,0,0.0,10,4,4.69,0,0,0,9.29,0,0,61.0,1,7,1,8.44,6.89,5.29,6.66,7.71,4.29,Clone Phishing,SMS,Customers,Low,74,High,Resolved,Third-party Vendor,4,0,0.845,Phishing
WEB-000042,2024-04-29,Singapore,Asia,Government,Small,Individual,58,5,4,2,0,4,4,4,2,0,0,1,1,1,4.49,544,341,1,23,5.08,26.0,,1,0,0,0,0.0,0,1.66,0.0,3.63,0,30.0,1,0,0,1,1,0,0,1,0.0,12,2,6.57,0,1,0,7.23,0,0,56.0,1,10,1,9.42,7.51,3.23,6.87,3.81,5.87,Malware Delivery,SMS,Executives,High,87,Critical,Under Investigation,Automated System,4,0,0.797,Phishing
WEB-000043,2024-06-18,India,Asia,Social Media,Medium,Employee,32,1,0,0,0,3,3,0,2,0,0,0,0,0,2.83,2064,2215,661,15,9.44,97.0,1.84,0,0,0,1,558.0,662,10.0,1.0,7.7,1,66.0,1,1,1,0,0,0,0,0,11.0,21,0,3.33,0,0,0,1.67,0,0,20.0,0,3,0,1.57,0.0,2.74,1.71,2.44,2.33,Not Applicable,Not Applicable,Not Applicable,None,18,Low,False Positive,User Report,0,1,0.223,Legitimate
WEB-000044,2024-05-23,Saudi Arabia,Middle East,Government,Small,Business,88,1,0,2,0,2,0,3,0,0,0,0,0,0,1.87,2864,1646,815,13,6.58,89.0,2.35,1,0,0,1,420.0,98,6.48,1.0,4.58,1,80.0,1,0,1,0,0,0,0,0,21.0,12,0,0.07,1,0,0,1.29,0,0,15.0,0,2,1,0.03,2.81,0.75,0.0,3.24,6.82,Not Applicable,Not Applicable,Not Applicable,None,7,Low,False Positive,User Report,2,0,0.047,Legitimate
WEB-000045,2024-08-23,United Kingdom,Europe,Social Media,Small,Business,82,0,3,0,0,2,2,3,0,0,0,0,0,0,2.99,3053,862,531,10,7.26,68.0,1.24,1,0,1,1,349.0,46,9.18,0.0,7.17,1,93.0,1,1,1,0,1,0,1,0,17.0,32,3,3.42,0,0,0,0.0,0,0,49.0,0,2,0,1.0,0.0,1.81,2.8,1.74,0.0,Not Applicable,Not Applicable,Not Applicable,None,27,Low,Resolved,User Report,0,0,0.073,Legitimate
WEB-000046,2023-09-13,Italy,Europe,Logistics,Enterprise,Individual,103,5,3,0,0,5,6,5,3,0,0,0,1,0,6.53,499,397,103,24,2.5,0.0,8.17,1,0,0,1,0.0,191,2.62,0.0,3.9,1,50.0,0,0,0,1,1,1,0,1,0.0,0,4,6.1,0,0,1,5.04,0,1,,1,7,0,8.81,5.55,5.23,7.53,4.21,7.03,Spear Phishing,Phone Call,Executives,Low,93,Critical,Confirmed,Automated System,2,0,0.811,Phishing
WEB-000047,2024-04-11,Russia,Europe,Media,Large,Individual,82,4,7,3,1,5,7,3,2,0,0,0,0,1,6.77,0,39,1,25,4.12,9.0,10.0,0,0,0,0,73.0,0,4.08,1.0,1.64,0,49.0,0,0,0,1,0,0,1,1,0.0,0,6,7.14,0,0,0,6.2,0,0,59.0,1,5,1,10.0,7.11,3.78,8.12,8.1,2.35,Credential Harvesting,Phone Call,Employees,Low,55,High,Confirmed,User Report,6,1,0.961,Phishing
WEB-000048,2025-02-07,India,Asia,Social Media,Large,Employee,119,5,6,2,3,3,2,6,3,0,0,0,0,0,5.86,532,480,203,17,1.89,21.0,8.14,1,1,0,0,218.0,82,0.0,0.0,0.0,1,55.0,0,0,0,1,1,0,1,0,0.0,0,5,8.82,1,0,0,6.8,0,0,94.0,0,7,1,8.02,5.89,7.8,6.9,6.66,6.45,SMS Phishing,SMS,Vendors,Low,71,High,Confirmed,Automated System,5,1,0.761,Phishing
WEB-000049,2025-07-06,India,Asia,Telecommunications,Large,Employee,105,4,5,2,1,4,5,6,3,1,0,0,0,0,4.77,3,194,91,15,2.82,29.0,6.21,1,1,0,1,198.0,32,0.75,1.0,2.38,0,19.0,1,0,0,0,1,1,0,0,21.0,8,3,6.45,1,0,0,6.21,0,0,73.0,1,9,0,5.73,6.49,4.99,6.86,7.87,6.5,Voice Phishing,Phone Call,Executives,High,71,High,Confirmed,User Report,5,0,0.925,Phishing
WEB-000050,2024-11-25,Netherlands,Europe,Energy,Small,Individual,34,1,3,0,1,1,0,2,1,0,0,0,0,0,1.27,2541,1512,437,18,8.2,81.0,2.27,1,0,1,1,585.0,328,9.46,0.0,7.48,1,100.0,1,0,1,0,0,0,0,0,17.0,14,0,1.79,0,0,0,3.38,0,0,0.0,0,0,0,3.24,0.0,1.95,0.0,2.87,0.0,Not Applicable,Not Applicable,Not Applicable,None,12,Low,False Positive,Security Team,2,0,0.111,Legitimate
WEB-000051,2024-06-11,United States,North America,Healthcare,Small,Customer,84,0,1,0,0,2,0,1,0,0,0,0,0,0,4.22,3130,1134,193,12,7.72,83.0,3.02,1,0,1,1,553.0,228,10.0,1.0,4.55,1,93.0,1,1,1,0,0,0,0,0,15.0,25,1,3.12,0,0,0,1.99,0,1,0.0,0,1,0,0.55,0.0,0.56,0.0,3.06,0.0,Not Applicable,Not Applicable,Not Applicable,None,15,Low,False Positive,Automated System,0,0,0.01,Legitimate
WEB-000052,2025-03-08,Argentina,South America,E-commerce,Enterprise,Government,92,5,5,4,0,5,12,9,3,0,0,1,0,1,5.68,0,50,1,20,4.67,18.0,8.25,1,0,0,1,0.0,360,2.47,1.0,3.83,0,25.0,0,0,0,0,1,0,0,0,0.0,0,5,7.4,0,0,0,7.39,1,0,95.0,0,8,1,5.58,5.33,8.32,5.6,8.64,0.0,Business Email Compromise,QR Code,General Public,Medium,97,Critical,Under Investigation,Automated System,2,1,0.786,Phishing
